id,city,site_name,site,state,query_name,from_date,from_time,pm25,pm10,just_date,just_month,just_year
31844,Delhi,"Ashok Vihar, Delhi - DPCC",site_1420,Delhi,run2_delhi_delhi_site_1420_20161021,21-Oct-2016,16:00,,,21,Oct,2016
31845,Delhi,"Ashok Vihar, Delhi - DPCC",site_1420,Delhi,run2_delhi_delhi_site_1420_20161021,21-Oct-2016,20:00,,,21,Oct,2016
32300,Delhi,"Aya Nagar, New Delhi - IMD",site_108,Delhi,run2_delhi_delhi_site_108_20161021,21-Oct-2016,00:00,,,21,Oct,2016
32301,Delhi,"Aya Nagar, New Delhi - IMD",site_108,Delhi,run2_delhi_delhi_site_108_20161021,21-Oct-2016,04:00,,,21,Oct,2016
32302,Delhi,"Aya Nagar, New Delhi - IMD",site_108,Delhi,run2_delhi_delhi_site_108_20161021,21-Oct-2016,08:00,,,21,Oct,2016
32303,Delhi,"Aya Nagar, New Delhi - IMD",site_108,Delhi,run2_delhi_delhi_site_108_20161021,21-Oct-2016,12:00,,,21,Oct,2016
32304,Delhi,"Aya Nagar, New Delhi - IMD",site_108,Delhi,run2_delhi_delhi_site_108_20161021,21-Oct-2016,16:00,,,21,Oct,2016
32305,Delhi,"Aya Nagar, New Delhi - IMD",site_108,Delhi,run2_delhi_delhi_site_108_20161021,21-Oct-2016,20:00,,,21,Oct,2016
32760,Delhi,"Bawana, Delhi - DPCC",site_1560,Delhi,run2_delhi_delhi_site_1560_20161021,21-Oct-2016,00:00,,,21,Oct,2016
32761,Delhi,"Bawana, Delhi - DPCC",site_1560,Delhi,run2_delhi_delhi_site_1560_20161021,21-Oct-2016,04:00,,,21,Oct,2016
32762,Delhi,"Bawana, Delhi - DPCC",site_1560,Delhi,run2_delhi_delhi_site_1560_20161021,21-Oct-2016,08:00,,,21,Oct,2016
32763,Delhi,"Bawana, Delhi - DPCC",site_1560,Delhi,run2_delhi_delhi_site_1560_20161021,21-Oct-2016,12:00,,,21,Oct,2016
32764,Delhi,"Bawana, Delhi - DPCC",site_1560,Delhi,run2_delhi_delhi_site_1560_20161021,21-Oct-2016,16:00,,,21,Oct,2016
32765,Delhi,"Bawana, Delhi - DPCC",site_1560,Delhi,run2_delhi_delhi_site_1560_20161021,21-Oct-2016,20:00,,,21,Oct,2016
33210,Delhi,"Burari Crossing, New Delhi - IMD",site_104,Delhi,run2_delhi_delhi_site_104_20161021,21-Oct-2016,00:00,,,21,Oct,2016
33211,Delhi,"Burari Crossing, New Delhi - IMD",site_104,Delhi,run2_delhi_delhi_site_104_20161021,21-Oct-2016,04:00,,,21,Oct,2016
33212,Delhi,"Burari Crossing, New Delhi - IMD",site_104,Delhi,run2_delhi_delhi_site_104_20161021,21-Oct-2016,08:00,,,21,Oct,2016
33213,Delhi,"Burari Crossing, New Delhi - IMD",site_104,Delhi,run2_delhi_delhi_site_104_20161021,21-Oct-2016,12:00,,,21,Oct,2016
33214,Delhi,"Burari Crossing, New Delhi - IMD",site_104,Delhi,run2_delhi_delhi_site_104_20161021,21-Oct-2016,16:00,,,21,Oct,2016
33215,Delhi,"Burari Crossing, New Delhi - IMD",site_104,Delhi,run2_delhi_delhi_site_104_20161021,21-Oct-2016,20:00,,,21,Oct,2016
33660,Delhi,"CRRI Mathura Road, New Delhi - IMD",site_103,Delhi,run2_delhi_delhi_site_103_20161021,21-Oct-2016,00:00,,,21,Oct,2016
33661,Delhi,"CRRI Mathura Road, New Delhi - IMD",site_103,Delhi,run2_delhi_delhi_site_103_20161021,21-Oct-2016,04:00,,,21,Oct,2016
33662,Delhi,"CRRI Mathura Road, New Delhi - IMD",site_103,Delhi,run2_delhi_delhi_site_103_20161021,21-Oct-2016,08:00,,,21,Oct,2016
33663,Delhi,"CRRI Mathura Road, New Delhi - IMD",site_103,Delhi,run2_delhi_delhi_site_103_20161021,21-Oct-2016,12:00,,,21,Oct,2016
33664,Delhi,"CRRI Mathura Road, New Delhi - IMD",site_103,Delhi,run2_delhi_delhi_site_103_20161021,21-Oct-2016,16:00,,,21,Oct,2016
33665,Delhi,"CRRI Mathura Road, New Delhi - IMD",site_103,Delhi,run2_delhi_delhi_site_103_20161021,21-Oct-2016,20:00,,,21,Oct,2016
34120,Delhi,"DTU, New Delhi - CPCB",site_118,Delhi,run2_delhi_delhi_site_118_20161021,21-Oct-2016,00:00,,,21,Oct,2016
34121,Delhi,"DTU, New Delhi - CPCB",site_118,Delhi,run2_delhi_delhi_site_118_20161021,21-Oct-2016,04:00,,,21,Oct,2016
34122,Delhi,"DTU, New Delhi - CPCB",site_118,Delhi,run2_delhi_delhi_site_118_20161021,21-Oct-2016,08:00,,,21,Oct,2016
34123,Delhi,"DTU, New Delhi - CPCB",site_118,Delhi,run2_delhi_delhi_site_118_20161021,21-Oct-2016,12:00,,,21,Oct,2016
34124,Delhi,"DTU, New Delhi - CPCB",site_118,Delhi,run2_delhi_delhi_site_118_20161021,21-Oct-2016,16:00,,,21,Oct,2016
34125,Delhi,"DTU, New Delhi - CPCB",site_118,Delhi,run2_delhi_delhi_site_118_20161021,21-Oct-2016,20:00,,,21,Oct,2016
