Station,Year,January,February,March,April,May,June,July,August,September,October,November,December
"Punjabi Bagh, Delhi - DPCC",2016,31,29,29,22,28,30,31,24,30,30,30,31
"Punjabi Bagh, Delhi - DPCC",2015,NA,NA,NA,24,27,30,31,30,30,26,29,24
"Punjabi Bagh, Delhi - DPCC",2013,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Punjabi Bagh, Delhi - DPCC",2012,21,24,28,27,25,NA,16,NA,NA,NA,28,30
"Punjabi Bagh, Delhi - DPCC",2011,NA,NA,NA,8,29,26,26,1,23,28,2,NA
"Pusa, Delhi - DPCC",2018,NA,NA,NA,NA,NA,NA,29,31,30,NA,NA,NA
"Pusa, Delhi - DPCC",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pusa, Delhi - DPCC",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pusa, Delhi - DPCC",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pusa, New Delhi - IMD",2018,31,28,31,30,28,30,31,31,30,NA,NA,NA
"Pusa, New Delhi - IMD",2017,NA,NA,NA,NA,NA,NA,NA,NA,21,31,30,31
"Pusa, New Delhi - IMD",2013,31,28,31,30,31,30,26,NA,NA,NA,NA,NA
"Pusa, New Delhi - IMD",2010,NA,NA,NA,NA,1,NA,NA,20,30,1,NA,1
"R K Puram, New Delhi - DPCC",2018,31,28,31,28,31,30,31,31,30,NA,NA,NA
"R K Puram, New Delhi - DPCC",2017,29,26,22,19,31,30,31,31,30,31,30,30
"R K Puram, New Delhi - DPCC",2016,31,29,29,26,29,29,31,27,30,31,30,31
"R K Puram, New Delhi - DPCC",2015,NA,NA,NA,24,31,30,31,31,29,29,29,24
"R K Puram, New Delhi - DPCC",2013,8,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R K Puram, New Delhi - DPCC",2012,21,24,28,28,27,NA,15,NA,NA,NA,28,30
"R K Puram, New Delhi - DPCC",2011,NA,NA,NA,9,25,25,26,1,23,28,2,NA
"Rohini, Delhi - DPCC",2018,NA,28,31,27,31,30,31,30,30,NA,NA,NA
"Shadipur, New Delhi - CPCB",2018,31,28,31,30,31,30,31,31,30,NA,NA,NA
"Shadipur, New Delhi - CPCB",2017,30,28,31,30,31,30,31,31,30,31,30,31
"Shadipur, New Delhi - CPCB",2016,31,27,31,30,22,28,30,26,27,28,28,31
"Shadipur, New Delhi - CPCB",2015,31,28,31,30,31,30,31,31,30,31,29,31
"Shadipur, New Delhi - CPCB",2014,31,28,31,30,31,28,30,30,30,31,30,31
"Shadipur, New Delhi - CPCB",2013,8,2,23,14,31,30,31,31,29,31,30,31
"Shadipur, New Delhi - CPCB",2012,31,27,30,24,31,30,27,NA,7,2,29,26
"Shadipur, New Delhi - CPCB",2011,31,28,31,30,31,27,31,31,30,31,30,31
"Shadipur, New Delhi - CPCB",2010,27,28,28,20,NA,NA,24,22,30,31,30,31
"Shadipur, New Delhi - CPCB",2009,20,28,30,30,31,29,31,31,30,25,28,30
"Shadipur, New Delhi - CPCB",2008,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Sirifort, New Delhi - CPCB",2018,27,22,31,27,28,30,31,30,30,NA,NA,NA
"Sirifort, New Delhi - CPCB",2017,31,28,31,30,24,30,31,29,28,31,30,30
"Sirifort, New Delhi - CPCB",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,31
"Sirifort, New Delhi - CPCB",2011,3,28,27,30,31,29,1,NA,NA,NA,NA,NA
"Sirifort, New Delhi - CPCB",2010,26,26,30,8,NA,NA,NA,NA,NA,31,30,27
"Sirifort, New Delhi - CPCB",2009,28,25,31,20,12,12,17,23,15,31,17,29
"Sirifort, New Delhi - CPCB",2008,30,29,26,20,31,30,31,31,30,22,30,30
"Sirifort, New Delhi - CPCB",2007,29,27,31,28,30,30,31,31,30,30,27,22
"Sirifort, New Delhi - CPCB",2006,NA,NA,NA,NA,NA,NA,NA,28,28,29,30,31
"Sonia Vihar, Delhi - DPCC",2018,NA,28,31,30,31,30,31,31,30,NA,NA,NA
"Sri Aurobindo Marg, Delhi - DPCC",2018,NA,NA,NA,NA,NA,NA,29,31,30,NA,NA,NA
"Sri Aurobindo Marg, Delhi - DPCC",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sri Aurobindo Marg, Delhi - DPCC",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sri Aurobindo Marg, Delhi - DPCC",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vivek Vihar, Delhi - DPCC",2018,NA,28,31,29,30,30,31,31,30,NA,NA,NA
"Wazirpur, Delhi - DPCC",2018,NA,28,31,30,31,30,31,31,30,NA,NA,NA
